Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,MBH-3115,Proposal for Electrical Professional Service Providers for Upgrade of Municipal Infrastructure on Turnkey Basis,05/08/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/proposal-for-electrical-professional-service-providers-for-upgrade-of-municipal-infrastructure-on-turnkey-basis/,3115,Mbhashe
Municipal,MBH-10321,Erratum for the Supply & Installation of Street Names & Road Traffic Signs at Dutywa.,05/08/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/erratum-for-the-supply-installation-of-street-names-road-traffic-signs-at-dutywa-2/,10321,Mbhashe
Municipal,MBH-3112,Erratum for the Supply & Installation of Street Names & Road Traffic Signs at Dutywa.,05/08/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/erratum-for-the-supply-installation-of-street-names-road-traffic-signs-at-dutywa/,3112,Mbhashe
Municipal,MBH-3110,Advert for the Infrastructure Projects,05/08/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/advert-for-the-infrastructure-projects/,3110,Mbhashe
Municipal,MBH-17396,Inkqubo Yokufaka Izicelo Zenkxaso Yembewu Yombona,05/06/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/inkqubo-yokufaka-izicelo-zenkxaso-yembewu-yombona/,17396,Mbhashe
Municipal,MBH-2825,TENDER ADVERT AFS and Vat Recovery services,05/05/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/03-tender-adverts-2/,2825,Mbhashe
Municipal,MBH-2823,tender advert 03 may 2016,05/05/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/tender-advert-03-may-2016/,2823,Mbhashe
Municipal,MBH-7599,Fencing of Mazizi Maqhekeza heritage site,05/02/2020,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/fencing-of-mazizi-maqhekeza-heritage-site/,7599,Mbhashe
Municipal,MBH-7597,Fencing of Willowvale pound,05/02/2020,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/fencing-of-willowvale-pound/,7597,Mbhashe
Municipal,MBH-7595,Supply and delivery of branding material,05/02/2020,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-branding-material-4/,7595,Mbhashe
