Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Tender-54-2025,Tender 54 2025 Re advertisement Printer Rental Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,ADVERT-PMU-TECHN,ADVERT PMU TECHN,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-585,Opening Register BEYSCM 585,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-583,Opening Register BEYSCM 583,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-582,Opening Register BEYSCM 582,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-581,Opening Register BEYSCM 581,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-580,Opening Register BEYSCM 580,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,OPening-Register-BEYSCM-578,OPening Register BEYSCM 578,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Openinhg-Register-BEYSCM-577,Openinhg Register BEYSCM 577,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-576,Opening Register BEYSCM 576,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-575,Opening Register BEYSCM 575,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-574,Opening Register BEYSCM 574,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,OPening-Register-BEYSCM-573,OPening Register BEYSCM 573,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-583,BEY SCM 583 Airdac Cable Amended,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-578,BEY SCM 578 Padlocks,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-577,BEY SCM 577 Iron Rods,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-584,BEY SCM 584 Portable K53 Motorcycle System,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-573,BEY SCM 573 LED Street Lights,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-574,BEY SCM 574 Herbicide,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-576,BEY SCM 576 Building Material,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-575,BEY SCM 575 Paint,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-580,BEY SCM 580 Training Spreadsheets,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-582,BEY SCM 582 Chainsaw Training,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-581,BEY SCM 581 Bid Committees,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-579,BEY SCM 579 Training NSC,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-585,BEY SCM 585 Repair of Sewerage Trucks,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-571,Opening Register 571,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,REgister-70-2025,Opening REgister 70 2025 Re advertisement 1,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-108-2025,Opening Register 108 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-569,Opening Register 569,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,OPening-Register-568,OPening Register 568,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-572,BEY SCM 572 Rota Tank 1,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-571,BEY SCM 571 Galvanised Mesh,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-570,BEY SCM 570 Steel Tower Tanks,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-569,BEY SCM 569 Electrical Material,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-568,BEY SCM 568 Tools and Accessories,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-79-2025,Opening Register 79 2025 002,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-90-2025,Opening Register 90 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-44-2025,Opening Register 44 2025 1,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-44-2025,Opening Register 44 2025 2,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,108-2025-MDRG-Roads-Recovery-Full-Tender-Advert-1,108 2025 MDRG Roads Recovery Full Tender Advert 1,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-70-2025,Tender 70 2025 Re Advertisement Collie Koeberg Complex Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-44-2025,Erratum Tender 44 2025 and Tender 90 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-567,Opening Register BEYSCM 567,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-Advert-T79-2025-Construction-of-Multi-Purpose-Centre-in-Graaff-Reinet,Tender Advert T79 2025 Construction of Multi Purpose Centre in Graaff Reinet,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
